Post,Score1,Score2,AverageScore,Equal,PositiveScore,,,
"<p>I got it working. I copied all DLLs from C:\PosgreSql 9.3\bin to my application and it is working.</p>

<p>Thank You Guys!!!!</p>
",2,2,2,TRUE,TRUE,,,
"<p>I got this to work by installing pywin32.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I guess the best two (and by far the most common) are either GD or ImageMagick. I've had a lot of joy with the second.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I guess You are doing great, just change your code like:-
<code>&lt;option value=""&lt;%out.print(Field); %&gt;""&gt;&lt;/option&gt;</code>
Hope this works</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>I have found <a href=""http://www.chipx86.com/blog/?p=261"" rel=""nofollow noreferrer"">djblets.siteconfig</a> very useful. Works great with the Admin app, and very easy to use. Highly recommended.</p>
",-1,1,0,FALSE,FALSE,,,
"<p>I have solved it ..at first i was using the wrong port number for mysql ,i checked the right one one from the xampp wizard window..
secondly, i had a wrong table name</p>
",0,0,0,TRUE,TRUE,,,
"<p>I have some text in a String Builder Object in my ASP.NET page, I want to save it into a field in an SQL Server database. I am taking varBinary(max) for that, but not able to save it.</p>

<p>Please tell me which is the best way to do so?</p>
",1,1,1,TRUE,TRUE,,,
"<p>I have some text in a String Builder Object in my ASP.NET page, I want to save it into a field in an SQL Server database. I am taking varBinary(max) for that, but not able to save it.</p>

<p>Please tell me which is the best way to do so?</p>
",-1,0,-0.5,FALSE,FALSE,,,
"<p>I hope somebody will find my answer helpful
double is 200.00
and int is 200 not 
so double check if you're converting and using the the correct type. Thanks</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>I like the integrated HTML/XML Tidy.  Cmd-shift-H is your friend.</p>

<p>Also, nice integration with a variety of scp/sftp clients.</p>
",1,1,1,TRUE,TRUE,,,
"<p>I personnaly use <a href=""http://msdn.microsoft.com/en-us/library/c6zyy3s9.aspx"" rel=""nofollow noreferrer"">the resources files</a>.</p>

<p>Very efficient, very simple.</p>
",1,1,1,TRUE,TRUE,,,
"<p>i resolved my issue for the moment, i commented out the security-constraint in mdm-android-agent/WEB-INF/web.xml so no more redirects and data is correctly saved.</p>
",0,0,0,TRUE,TRUE,,,
"<p>I suggest changing the answer to: </p>

<p><code>grep REGEX -r .</code></p>

<p>The -r switch doesn't indicate regular expression.  It tells grep to recurse into the directory provided.</p>
",1,0,0.5,FALSE,FALSE,,,
"<p>I suggest you to try adding <code>&quot;babel-runtime&quot;: &quot;6.26.0&quot; </code>  to your <code>package.json</code>
Maybe it would fix an error for you</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I think a good approach would be to create a template of the classes which contain the variables whose type you would like to change dynamically. Then you would be able to pass in any type you like based on what mode you want to use.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I think I'm misunderstanding your question but wouldn't you just use map to apply a function to each element in your result.</p>
",1,0,0.5,FALSE,FALSE,,,
"<p>I think in this context ""application entry point"" means ""the point at which the application (your code) enters the library"".</p>
",0,0,0,TRUE,TRUE,,,
"<p>I think searching for <code>[^\s]+</code> would work. Untested.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I think you have a good approach. I recommend that you produce ""machine friendly"" records in the log file(s) so that you can parse them more easily. Something like CSV or other-delimited records that are consistently structured.</p>
",1,1,1,TRUE,TRUE,,,
"<p>I think you mean something like the following:</p>

<pre><code>reftomytable='~/Documents/myfile.csv'
myTable=read.csv(reftomytable)
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>I think you mixed up sth. here. You should not use a time string to actually calculate it, only change the format for your date, but keep the actual moment object for further calculations. This way you always have the right time and dates.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I think your answer is here</p>

<p><a href=""http://atomized.org/2008/12/python-on-os-x-leopard-lacks-selectpoll/"" rel=""nofollow noreferrer"">http://atomized.org/2008/12/python-on-os-x-leopard-lacks-selectpoll/</a></p>
",0,0,0,TRUE,TRUE,,,
"<p>I think your question in poorly worded. Syntax highlighting, and highlighting all similar strings are very different. </p>
",-1,0,-0.5,FALSE,FALSE,,,
"<p>I use pen and paper. </p>

<p>For all planning purposes, it's the fastest way.
I get lost in layout and finetuning when I use a UML package.</p>

<p>But that is my burden.. :-)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I used <b>JEditorPane</b> instead of WebView to show the XML tree, it works fine and it's so easy to implement</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I usually just copy the attributes, changing whatever I need changing:</p>

<pre><code>new_user = User.new(old_user.attributes.merge(:login =&gt; ""newlogin""))
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>I want a div height/width to be dynamically resized together when window width is resizing just like in (background-size:100%), and I prefer using only CSS ""if possible"".</p>

<p>Thank you in advance :)</p>
",2,2,2,TRUE,TRUE,,,
"<p>I was looking for the answer to this question, and found this unanswered.  I ended up with the following solution:</p>

<p><a href=""https://gist.github.com/1508111"" rel=""nofollow"">https://gist.github.com/1508111</a></p>
",0,0,0,TRUE,TRUE,,,
"<p>I worked around this by using a SQL stored proc to update one of the primary keys and calling it from LINQ.</p>
",0,0,0,TRUE,TRUE,,,
"<p>I would like to see what prints in my server side script when it gets a file (via uploadify plugin in jQuery). How can I do that?</p>
",0,0,0,TRUE,TRUE,,,
"<p>I would never suggest altering a user's resolution unless you're doing something like a full-screen game, you can use</p>

<pre><code> System.Windows.Forms.Screen.PrimaryScreen
</code></pre>

<p>to give you metrics about that main monitor.</p>
",0,0,0,TRUE,TRUE,,,
"<p>I would recommend trying the <code>Response.TransferFile()</code> method then a <code>Response.Flush()</code> and <code>Response.End()</code> for serving your large files.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I would recommend you to use Grid with * Lenght instead of DockPanel and StackPanel.</p>
",0,0,0,TRUE,TRUE,,,
"<p>I would remove the <code>result[push]</code> and replace it with just <code>result</code> and do the same with <code>codelist[listpush]</code>, see if this works</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I would suggest using a WebRequest to get a stream and load the stream into the document.</p>
",0,0,0,TRUE,TRUE,,,
"<p>I would use the first option, or overload it in this case, seeing as you have 4 different parameter signatures. However, being specific helps with understanding the code 3 months from now.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I'd recommend using a wiki. It works extremely well as a central documentation source and has built-in revision control. Also you can reference the docs in the code via URLs.</p>
",1,1,1,TRUE,TRUE,,,
"<p>If the behavior is similar to opening an Application, all you need to do is click the Open/Save dialog and the Open button will become available about a second later. Does this help?</p>
",1,1,1,TRUE,TRUE,,,
"<p>If the script you are trying to run is itself called random.py, then you would have a naming conflict. Choose a different name for your script.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>If the Test.SendData and Test.sendMyInfo methods are thread-safe, than the code you're presenting will itself be thread-safe. Otherwise no!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>If you don't have a <strong>home</strong> property defined for your MaterialApp, you probably should have this kind of error. Please try to fill it with a Scaffold widget.</p>
",1,0,0.5,FALSE,FALSE,,,
"<p>If you have not tried this, Consider it.</p>
<pre><code>o.configure(DeserializationFeature.FAIL_ON_UNKNOWN_PROPERTIES, false);
</code></pre>
",0,1,0.5,FALSE,FALSE,,,
"<p>If you have that much data, I wonder why you don't simply use a database? </p>
",0,0,0,TRUE,TRUE,,,
"<p>If your TTB are common rather than per project, there is no problem with it. Or am I missing something?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>If you're in the position of specifying which realtime/embedded OS you use, have you considered Windows CE?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I'm not sure but in my case it helped to install react native web by <code>npm install react-native-web</code>. Hope it helps you too.</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>i'm not sure if this problem is already resolved, but try this:</p>

<pre><code>$(""#loading-popup"").show();
$.ajax({
// ajax here
success: function(data) {
  $(""#loading-popup"").hide();
}
});
</code></pre>

<p>let me know if this works..</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>In addition to Jon's answer, IIRC even if you have Integrated Authentication enabled, if Anonymous Authentication is enabled it will take precedence...</p>
",0,0,0,TRUE,TRUE,,,
"<p>in my opinion a good programming language would not need code generators because introspection and runtime code generation would  be part of language e.g. in python metaclasses and new module etc.</p>
",0,0,0,TRUE,TRUE,,,
"<p>In my opinion, <code>if (var != 0)</code> is better.</p>
",0,0,0,TRUE,TRUE,,,
"<p>In order for this code to work you need to put choice = int(choice) in a new line. I assume that was probably a mistake so just fix that :)</p>
",1,2,1.5,FALSE,TRUE,,,
"<p>In the layout.xml file, add the property <code>android:focusable=false</code>, this will surely work</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>In VSBaseView.m replace</p>

<pre><code>selfFrame.origin.y = self.frame.origin.y - diffHeight.size.height;
</code></pre>

<p>with</p>

<pre><code>selfFrame.origin.y = 200 - selfFrame.size.height;
</code></pre>

<p>i hope it helps :)</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>In your IDE, go and run the below command in the terminal</p>
<p>appium --allow-insecure chromedriver_autodownload</p>
<p>This will install the chromedrivers and you are all set to run the code on chrome browsers</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Install R# ;-)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Instead of doing it the hard way, you can try to use Laravel Valet, which allows you to link your site to a domain like localhost.test and localhost2.test. It takes care of all virtual host configuration.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Is this as simple as Googling? Search for </p>

<pre><code>link:http://dummy.com/Images/Image1.jpg?id=19234
</code></pre>

<p>If you want to do this programmatically, you'll need to use the Google API.</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>Isn't your query the same as</p>

<pre><code>SELECT orderID FROM tasks
WHERE engineer1 IS NOT NULL OR engineer2 IS NOT NULL
</code></pre>

<p>?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>It really sounds like SQL, but perhaps it's worth to try using SQLite if you want to keep it simple?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>It's a cookie</p>
",0,0,0,TRUE,TRUE,,,
"<p>It's hard to help you if you don't tell us which version of Asterisk you are using. Check the manager.conf.sample in the source code distribution of the version of Asterisk you are using to verify the settings.</p>

<p>/O</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>I've used <a href=""http://fabforce.net/dbdesigner4/"" rel=""noreferrer"">DBDesigner</a> before.  It is an open source tool.  You might check that out.  Not sure if it fits your needs.</p>

<p>Best of luck!</p>
",2,1,1.5,FALSE,TRUE,,,
"<p>Just add this constructor</p>
<pre><code>public ChatMessage(){}
</code></pre>
<p>Hope this works :)</p>
",1,2,1.5,FALSE,TRUE,,,
"<p>Just an update on this issue. I have got the clarification from the Teradata Support. Before executing the Insert query, the following statement has to be executed.</p>

<pre><code>diagnostic evlinterp on for session;
</code></pre>
",0,0,0,TRUE,TRUE,,,
"<p>Just downgrade the tensorflow_dataset, ex:</p>
<pre><code>pip install tensorflow-datasets==1.2
</code></pre>
<p>then it is able to download older versions of the datasets.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Just make it PHP file not TXT and use include not require to avoid errors,</p>

<pre><code>&lt;?php include('meta.php'); ?&gt;
</code></pre>

<p>done!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Just mock it!</p>
",0,0,0,TRUE,TRUE,,,
"<p>Just replace the .navigationBarTitle(&quot;string&quot;) with .navigationTitle(&quot;string&quot;) is fine.
And add .navigationViewStyle.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Just run <code>npm i</code> in console in new folder ;)</p>
",1,1,1,TRUE,TRUE,,,
"<p>Just try deleting cookies and cache on your browser, and be sure you are opening the file you are actually editing!</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Just try to delete Derived Data for the project</p>
",0,0,0,TRUE,TRUE,,,
"<p>Learn to use Harvest. It takes a little effort to get things going smoothly but overall it is an excellent source control system.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Long answer: Only let users browse your site by visiting your office and using a machine located there - under strict supervision, of course.</p>

<p>Short answer: No.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Make a shorter timeout.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Maybe you can do</p>
<pre><code>from .solutions import device
</code></pre>
<p>in tests.py</p>
",0,0,0,TRUE,TRUE,,,
"<p>Maybe you could check this one.
All the work done for you.</p>

<p><a href=""http://gallery.expression.microsoft.com/WPFAutoCompleteBox/"" rel=""nofollow"">http://gallery.expression.microsoft.com/WPFAutoCompleteBox/</a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Maybe you could make a use of this : <a href=""http://www.wordle.net/"" rel=""nofollow noreferrer"">http://www.wordle.net/</a></p>
",0,1,0.5,FALSE,FALSE,,,
"<p>MSDN has a wealth of information...</p>

<p><a href=""http://msdn.microsoft.com/en-us/library/ms173186(VS.80).aspx"" rel=""nofollow noreferrer"">http://msdn.microsoft.com/en-us/library/ms173186(VS.80).aspx</a></p>
",0,0,0,TRUE,TRUE,,,
"<p>My favourite is ""Building an Optimizing Compiler"" by Robert Morgan.  Very practical, covers static single assignment.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Nice question.  However, I find the answers ... scary!<br>
An exception is a kind of GOTO.<br>
I don't like using exceptions in this way because that leads to spaghetti code.<br>
Simple as that.  </p>
",1,1,1,TRUE,TRUE,,,
"<p>No, this is not what it says.</p>

<p>It says that if you try to solve the problems  multiple inheritance presents by, instead of inheriting, making those classes members of your class, you lose the power of polymorphism and Dynamic binding.</p>
",0,0,0,TRUE,TRUE,,,
"<p>No, you cannot.</p>
",0,0,0,TRUE,TRUE,,,
"<p>No.  Indentation-as-grammar is an integral part of the Python language, for better and worse.</p>
",0,0,0,TRUE,TRUE,,,
"<p>No.  The Img's SRC attribute is not an event, therefore the inline JS will never fire.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>No. (To the best of my knowledge, and I have had the same problem and have looked many times hard and long...)</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>No. How would Python parse your script if there was a way to disable this?</p>
",0,-1,-0.5,FALSE,FALSE,,,
"<p>No. Primary keys can not be null.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Not sure if this helps, but could you try this workaround?
Create a temporary file, merge all your XMLs, and do the validation.</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>not to be mean, rude, or anything else, but since when java has something to do with javascript ( .js ) files ?</p>
",0,1,0.5,FALSE,FALSE,,,
"<p>Number of worthless comments to meaningful comments:</p>

<pre><code>'Set i to 1'
Dim i as Integer = 1
</code></pre>
",-1,-1,-1,TRUE,TRUE,,,
"<p>Ok, I solved this issue but it was out of the blue. When I cloned my project on another laptop and ran npm install the app starting to work on iOS as well. I think the redux version got updated and fixed the error.</p>
",0,,0,FALSE,TRUE,,,
"<p>Okay so I found out what was wrong. It was looking for the wrong files. I renamed the index.verb, index.adj etc. to verb.idx... This solved the problem and the program is now able to lookup the words in the dictionary.</p>
",0,0,0,TRUE,TRUE,,,
"<p>Oops... A basic error! [aren't they always?]</p>

<p>Anyone spot a missing <code>runat=""server""</code> in the  element?</p>

<p>Oops.</p>
",0,1,0.5,FALSE,FALSE,,,
